cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;345,01;05022024;409;0,01;B3SA3;Normal;5;06012024;2024-08-13
V;Futuro;85,27;07022024;434;0,03;SUZB3;Normal;5;06012024;2024-08-13
V;Futuro;432,02;05022024;127;0,01;GGBR4;Normal;5;06012024;2024-08-13
V;Futuro;393,37;10022024;448;0,07;BBDC4;Normal;5;06012024;2024-08-13
V;Futuro;182,92;07022024;442;0,09;MGLU3;Normal;5;06012024;2024-08-13
V;Futuro;246,22;31012024;341;0,05;VVAR3;Normal;5;06012024;2024-08-13
C;Futuro;427,55;02022024;161;0,03;ITUB4;Normal;5;06012024;2024-08-13
C;Futuro;383,71;03022024;437;0,08;ENBR3;Normal;5;06012024;2024-08-13
V;Futuro;430,25;03022024;149;0,03;CSNA3;Normal;5;06012024;2024-08-13
C;Futuro;208,15;06022024;254;0,05;ABEV3;Normal;5;06012024;2024-08-13
C;Futuro;385,34;07022024;296;0,01;PETR4;Normal;5;06012024;2024-08-13
V;Futuro;237,34;05022024;196;0,01;SUZB3;Normal;5;06012024;2024-08-13
